User,Tweet ID,Date Created,Number of Likes,Source of Tweet,Tweet
from_razz,1605350453616574464,2022-12-20 23:52:28+00:00,0,Twitter for iPhone,"@Citilink halo min, tolong cek dm yaa😊"
raja_trip,1605295926360215552,2022-12-20 20:15:48+00:00,0,twittbot.net,"Sedia Tiket Promo Pesawat 24jam !! "" Lion Air, Citilink, Mandala, Tiger airways, Air Asia, Sriwijaya, Merpati Airlines"" Tunggu Apa lagi !!!"
pinkypink211,1605269033531904000,2022-12-20 18:28:56+00:00,0,Twitter for Android,@NarasiNewsroom pantesan. kayanya 2-3 tahun lalu masih dapet tiket citilink 600an rute balikpapan-surabaya kalo sekarang udh hampir 2x lipatnya
GoRiauCom,1605246917705101312,2022-12-20 17:01:03+00:00,0,dlvr.it,Citilink Buka Penerbangan Pekanbaru - Kuala Lumpur https://t.co/hD5KFJeNvP
tiraimizzu,1605223395347820546,2022-12-20 15:27:35+00:00,0,Twitter for iPhone,"HAHAHAH zaman dulu tu banyak bgt diskon sampe 700rb aja udh dapet garuda yg udah include entertainment sama makanan enak"" sekelas steak dll. skrg boro"" dah, tiket sejuta welcome snack sebiji permen aja ga dapet. dulu pp garuda masih bisa. skrg mau naik citilink aja masih mikir""🤣 https://t.co/7QeOi3PF9P"
viniastar,1605212576941760512,2022-12-20 14:44:36+00:00,0,Twitter for iPhone,"Kemarin citilink sby-sampit sekali jalan 1,6jt padahal pake pesawat atr 🥲 https://t.co/ouCG72nTQp"
jpnncom,1605202122903293957,2022-12-20 14:03:03+00:00,0,JPNN News Update,"Bandara SSK II Pekanbaru Kembali Buka Rute ke Kuala Lumpur, Mulai Hari Ini #Citilink https://t.co/qhq8VCdhDY"
memble69,1605197738999939074,2022-12-20 13:45:38+00:00,0,Twitter for iPhone,@NarasiNewsroom gmn ini? @KemenBUMN @erickthohir @KemensetnegRI @PerekonomianRI @Kemenparekraf @sandiuno @jokowi masyarakat trus yg dirugikan @IndonesiaGaruda @Citilink @SriwijayaAir
PPribadimu,1605196251599077378,2022-12-20 13:39:44+00:00,0,Twitter for iPhone,@belumtidur_ @LionAirID Yang sama jam &amp; hari itu adanya citilink
tntymbrdhita,1605184633209249792,2022-12-20 12:53:34+00:00,0,Twitter for iPhone,"Duh tempting ke kuala lumpur pp 2,5an pake citilink direct free meals + bagasi jg"
mamavanenbas,1605179634395451393,2022-12-20 12:33:42+00:00,0,Twitter for Android,"Garuda Indonesia Group melalui layanan penerbangan full service Garuda Indonesia dan low cost carrier (LCC) Citilink, mempersiapkan sedikitnya 1,3 juta kursi penerbangan pada periode peak season Natal 2022 dan Tahun Baru 2023 (Nataru).
https://t.co/1DV0YnkSd4"
hoshifsrd,1605106832871395328,2022-12-20 07:44:25+00:00,0,Twitter for iPhone,min boleh bawa pod sama liquid gak ke penerbangan saya lewat bandara soetta-kualanamu @citilink
meiisme,1605101407753109504,2022-12-20 07:22:51+00:00,0,Twitter for Android,"Selama 2 jam di bandara ini semua yang didelay grup lion:
Wings, super air jet, lion dan batik. Its crazy. 

Januari naik citilink aja lah. Kmrn milih ini biar ke halim aja siang."
Chicken_is_Dino,1605098972586000384,2022-12-20 07:13:11+00:00,0,Twitter Web App,"@Citilink mau reschedule, bayar selisih, tapi  payment declined terus. Boleh info ini kira2 kenapa?"
raditzdj,1605098819900669952,2022-12-20 07:12:34+00:00,0,Twitter for Android,"@SeNseiKyouZu Trans nusa itu airlines baru fal?
Setara apa itu?
Lion? Citilink?"
raja_trip,1605084533182763009,2022-12-20 06:15:48+00:00,0,twittbot.net,"Sedia Tiket Promo Pesawat 24jam !! "" Lion Air, Citilink, Mandala, Tiger airways, Air Asia, Sriwijaya, Merpati Airlines"" Tunggu Apa lagi !!!"
najaeminpunya,1605083680258797568,2022-12-20 06:12:25+00:00,0,Twitter for iPhone,citilink ngajak brntm dr kmrn ): cb ak lom beli huhu https://t.co/G17CddeQfS
SintaAdika26,1605068174575435776,2022-12-20 05:10:48+00:00,0,Twitter for iPhone,Udah 4 hari pesen tiket @Citilink muter2 doang gabisa melakukan pembayaran. Ampe harga makin naek 😭
iamisadoraaa,1605057874891542528,2022-12-20 04:29:52+00:00,2,Twitter for iPhone,"Emang Citilink sih terbaik. Even gatau sama Garuda, w tetep lebih cinta Citilink"
bersemilah,1605048080231182337,2022-12-20 03:50:57+00:00,0,Twitter for Android,"@Citilink min mohon bantuanya untuk mengecek dm dari saya, terima kasih"
najaeminpunya,1605013201028284417,2022-12-20 01:32:21+00:00,0,Twitter for iPhone,kan pintik tbtb ada citilink besok :) https://t.co/2Z5WHwJ6MU
garuda080,1605007822957477889,2022-12-20 01:10:59+00:00,19,Twitter for Android,"Dukung Pembangunan IKN
Maskapai penerbangan Citilink yang merupakan anak usaha PT Garuda Indonesia mengoperasikan tiga rute baru dari Bandara Sultan Aji Muhammad Sulaiman Sepinggan, Balikpapan menuju Mamuju, Berau, dan Banjarmasin
Hal ini tentu mempermudah mobilitas masyarakat https://t.co/TRFYwXzOJY"
Akomeng6,1605005818604097539,2022-12-20 01:03:01+00:00,15,Twitter for Android,"Dukung Kelancaran Pembangunan IKN Nusantara, Citilink Buka Tiga Rute dari Bandara SAMS Sepinggan Balikpapan.
~Direktur Utama Citilink Dewa Kadek Rai mengatakan, pembukaan rute baru ini merupakan bentuk komitmen Citilink dalam meningkatkan konektivitas, khususnya di Kalimantan. https://t.co/zYeflLpbkB"
Bank_Aconk,1605005658390401024,2022-12-20 01:02:23+00:00,19,Twitter for Android,"Citilink Buka 3 Rute Baru ke Balikpapan, Dukung IKN Nusantara

Citilink, anak usaha PT Garuda Indonesia Tbk., membuka rute penerbangan baru dari Bandara Sultan Aji Muhammad Sulaiman Sepinggan, Balikpapan menuju Mamuju, Berau dan Banjarmasin untuk mendukung IKN Nusantara. https://t.co/V4065fqyRM"
alaniadita,1604999212139442176,2022-12-20 00:36:46+00:00,0,Twitter for iPhone,"@TheresaTampubo1 @Citilink kalo domestik keknya aman, Mba.
kemarin kita internasional diurusin kek beli tiket baru 🤦🏻‍♀️"
TheresaTampubo1,1604893439715602432,2022-12-19 17:36:28+00:00,0,Twitter for iPhone,@alaniadita @Citilink gimana solusi nya mbaa? mba tetap bisa terbang kan?? soalnya aku lagi ngalamin juga :(
AnissaDinii,1604892127833362433,2022-12-19 17:31:15+00:00,0,Twitter Web App,"@saphalosa Sekarang udah ada Bandara Purbalingga, Sarrr. Barusan aku cek di Traveloka ada Citilink dari Halim, tapi adanya hari Selasa &amp; Kamis aja ehe🥲"
raja_trip,1604888242733449217,2022-12-19 17:15:49+00:00,0,twittbot.net,"Sedia Tiket Promo Pesawat 24jam !! "" Lion Air, Citilink, Mandala, Tiger airways, Air Asia, Sriwijaya, Merpati Airlines"" Tunggu Apa lagi !!!"
ArielPjj,1604886507663130625,2022-12-19 17:08:55+00:00,1,Twitter for Android,"Ini Qatar Airways 🇶🇦 maskapai penerbangan di Qatar 🇶🇦 hany 1 aja Krn Qatar 🇶🇦 negarany kecil, kalo Indonesia 🇮🇩 byx, maskapai penerbangan nasionalny Garuda 🇮🇩 GA, pswt domestik yg w tau Citilink 🇮🇩, Lion Air 🇮🇩, Sriwijaya 🇮🇩, Batik Air 🇮🇩, Super Air Jet 🇮🇩, dll.... https://t.co/C82eddT4b1"
