User,Tweet ID,Date Created,Number of Likes,Source of Tweet,Tweet
RanggaMalela75,1671181050037555200,2023-06-20 15:39:46+00:00,0,,@Zhamvel Aaah itu pak kyai belum apa apa mungkin lupa nyebutin pake Lion Air aja..sy aja mimpi Anis lagi di tanya munkar &amp; nakir diem diem wae 🤭
kpgnj,1671171302093385728,2023-06-20 15:01:01+00:00,14,,"Perjalanan ini seharusnya hanya 4 jam saja memang. Tapi karena satu dan lain-lain hal, jadi 14 jam. Selama 14 jam itu, saya benar-benar mendapatkan kesempatan untuk merasakan dan menghayati layanan Lion Air yang tersohor itu. 🥲"
meriza_susanti,1671140097725702146,2023-06-20 12:57:02+00:00,0,,@lionairgroup min klo pesawat lion air jakarta(CGK) - kupang terminal brp y?
mi__awchan,1671094412779327488,2023-06-20 09:55:30+00:00,0,,"Lion air ni paling bikin emosi, jadwal diganti seenaknya .. sudah sihubungi paling susah kasihh respon!! Ssuuuuuuuu"
indsane,1671083747276619781,2023-06-20 09:13:07+00:00,0,,Indo punya satu maskapai yang selalu penuh kejutan: lion air. Mana tau flight lion air tiba2 jadi intense.
1001coid,1671070015335055360,2023-06-20 08:18:33+00:00,0,,Harga Bagasi Lion Air Per Kg 2023 https://t.co/N4gYp72FLO
Jopy44,1671048259505381376,2023-06-20 06:52:06+00:00,1,,@indoflyer Kenapa gak A339 nya lion air aja.. Lumayan 440 seat lebih 😄
theiconomic,1671047351631515648,2023-06-20 06:48:29+00:00,1,,"Wings Air dari Lion Air Group mengumumkan pembukaan rute baru Ternate-Buli di Halmahera Timur mulai 3 Juli 2023. 
Selengkapnya
https://t.co/EQ864GWXjN"
kngabdl,1671025707735199744,2023-06-20 05:22:29+00:00,0,,Lion air ajg tiba2 majuin schedule dri siang ke pagi mana paginya gw ada penerbangan lgi hadeh2
kecoataik,1671018038869790720,2023-06-20 04:52:01+00:00,0,,Lion air lu bener2 dah
KangSarjono1,1670970996675997700,2023-06-20 01:45:05+00:00,0,,@cakimiNOW Bos Lion Air group Rusdi Kirana...
puputttyy,1670819118361251840,2023-06-19 15:41:34+00:00,0,,lion air emg gaada adab
idbcpr,1670793142147137539,2023-06-19 13:58:21+00:00,0,,Semua Menjadi Kambing Dungu di depan Singa Sakti [ Tragedi Lion Air JT 610 ] - https://t.co/N9tBPL5atD
jauhar_fikri,1670789582294507525,2023-06-19 13:44:12+00:00,0,,@cakimiNOW Bos Lion Air yang come back mengabdi kepada Gus Imin
undipmenfess,1670733172018126849,2023-06-19 10:00:03+00:00,0,,-dips! Mending naik super air jet atau lion air?
Yudhaprtm_n,1670729558415511553,2023-06-19 09:45:42+00:00,0,,"Paket 12 hari (Agustus 2023)
Bersama Ustadz Abdul Aziz
Hotel bintang 4 Mekkah &amp; Madinah
Flight by Lionair AirBuss
Surabaya langsung Jeddah

Segera daftarkan diri anda, seat terbatas!!
#Alfirwisatautama
#alfirtour
#travelumrahsurabaya https://t.co/ZndLYGcG6E"
Yudhaprtm_n,1670728902145359873,2023-06-19 09:43:05+00:00,0,,"Paket 12 hari (November 2023)
Bersama Ja'far Mania (Habib Ja'far bin Ustman Jufri)
Hotel bintang 5 Mekkah, bintang 4 Madinah
Flight by Lionair AirBuss
Sub-Jed / Jed-Sub

Segera daftarkan diri anda, seat terbatas!!
#Alfirwisatautama
#alfirtour
#travelumrahsurabaya https://t.co/6jWnarSZj7"
Yudhaprtm_n,1670726071338270721,2023-06-19 09:31:50+00:00,0,,"Umrah Arbain paket 16 hari (Maulid 2023)
Hotel bintang 4 Madinah, bintang 3 Makkah
Flight by Lionair Airbuss
Surabaya langsung Jeddah

Segera daftarkan diri anda, seat terbatas!!
#Alfirwisatautama
#alfirtour
#travelumrahsurabaya https://t.co/32IYApTyur"
Yudhaprtm_n,1670724388340240384,2023-06-19 09:25:09+00:00,0,,"Umroh Safar paket 16 hari (15 Agustus 2023)
9 hari Mekkah dan 5 hari Madinah
Free Ziarah Badar dan Ziarah Thaif
Hotel bintang 4 Mekkah &amp; Madinah
Flight by Lionair AirBuss Sub-Jed

Segera daftarkan diri anda, seat terbatas!!
#Alfirwisatautama
#alfirtour
#travelumrahsurabaya https://t.co/BxeEpm8VlD"
Yudhaprtm_n,1670723571705085954,2023-06-19 09:21:54+00:00,0,,"Paket 12 hari (September 2023)
Bersama Ustadz Abdullah Baabud
Hotel bintang 5 Mekkah, bintang 4 Madinah
Flight by Lionair AirBuss
Surabaya langsung Jeddah

Segera daftarkan diri anda, seat terbatas!!
#Alfirwisatautama
#alfirtour
#travelumrahsurabaya https://t.co/F5kDjbjgUk"
Yudhaprtm_n,1670723080166211586,2023-06-19 09:19:57+00:00,0,,"Paket 12 hari (September 2023)
Bersama Jamaah Rosulillah
Hotel bintang 5 Mekkah, bintang 4 Madinah
Flight by Lionair AirBuss Surabaya langsung Jeddah 

Segera daftarkan diri anda, seat terbatas!!
#Alfirwisatautama
#alfirtour
#travelumrahsurabaya https://t.co/oOq8F4bigY"
Yudhaprtm_n,1670722618868236288,2023-06-19 09:18:07+00:00,0,,"Paket 12 hari (Oktober 2023)
bersama Habib Muhammad bin Ahmad Al-Habsyi
Hotel bintang 4 Mekkah dan Madinah
Flight by Lionair AirBuss Surabaya langsung Jeddah

Segera daftarkan diri anda, seat terbatas!!
#travelumrahsurabaya
#Alfirwisatautama
#alfirtour https://t.co/aU9nrqNnns"
jalanlurus05,1670586663477850112,2023-06-19 00:17:53+00:00,0,,"@idtodayco Ewok : Asem ik kita gak dianggap bro

Caplin : Iya nih, dasar kacang lupa kulit, ntar kalo minta private jet ama alphard kita kasih tiket lion air ama delman aja. https://t.co/NWoNE8kCxT"
KuretaID,1670553247768285184,2023-06-18 22:05:06+00:00,0,,Pesawat Lion Air Gagal Mendarat di Bandara Haluoleo Kendari https://t.co/100VSvvY3q
nyun_lst,1670429715449126912,2023-06-18 13:54:13+00:00,0,,"@LionAirID @lionairgroup pokoknya best lah pelayanan lionair, kalo gk delayed yo koper remuk..

#koperrusak
#lionairgroup https://t.co/et2Lg8myr7"
AbdiKabayan,1670424990762532866,2023-06-18 13:35:27+00:00,1,,"@HusinShihab @Miduk17 Beliau tdk naik Garuda, tapi lebih milih Lion Air. Salut buat Pak @ganjarpranowo !"
DPramastuti,1670421807248314368,2023-06-18 13:22:48+00:00,0,,@traveloka  min cara koreksi nama calon penumpang penerbangan lion air gimana ya? soalnya saya udah hubungi call center hanya di beritahu informasi koreksi nama dan biayanya namun tidak ada kelanjutan bagaimananya
RinalDelapanen2,1670421226655989760,2023-06-18 13:20:30+00:00,1,,"@bobby_risakotta @aniesbaswedan @ganjarpranowo Anies naik jet punya partai nasdem yg pilpres 2019 pernh di pakai oleh jokowi juga.
Ganjar makan siang bareng oligarki jatim yg ternyata pemilik maskapai lion air dan tersangka korupsi.🤣😂 https://t.co/F52Uhkpapb"
