User,Tweet ID,Date Created,Number of Likes,Source of Tweet,Tweet
aircrashdaily,1605206153449078784,2022-12-20 14:19:04+00:00,11,Twitter for Android,#OTD in 2011: Sriwijaya Air 230 crash in Yogyakarta (Indonesia) https://t.co/b2arOaB7HQ https://t.co/DznUuDtk4G
memble69,1605197738999939074,2022-12-20 13:45:38+00:00,0,Twitter for iPhone,@NarasiNewsroom gmn ini? @KemenBUMN @erickthohir @KemensetnegRI @PerekonomianRI @Kemenparekraf @sandiuno @jokowi masyarakat trus yg dirugikan @IndonesiaGaruda @Citilink @SriwijayaAir
pratama_niky,1605167048983617536,2022-12-20 11:43:41+00:00,0,Twitter for iPhone,eh ada yg kerja atau kenal di Sriwijaya Air gak ya??
JIExpo,1605115446553821184,2022-12-20 08:18:38+00:00,0,Twitter Web App,"Fiersa Besari, .Feast dan masih banyak lagi.
Nantikan juga Big Bang Travel Fair yang menawarkan harga tiket pesawat dengan diskon spesial dari Sriwijaya Air dan Nam Air. 

Beli tiketnya sekarang di aplikasi BBO!

#BigBangFestival2022 #BigBangJakarta #PameranCuciGudang #JIEXPO"
itscharley74,1604814499067764736,2022-12-19 12:22:47+00:00,0,Twitter for iPhone,sriwijaya air delay mulu sampe sukses
towardsthepluto,1604783906271956993,2022-12-19 10:21:13+00:00,0,Twitter for iPhone,"@SriwijayaAir lu klo mo delay, kasi tau dong anjingggsgzggsgsgsfag sialandjsk"
TiketPesawatPro,1604574124000452608,2022-12-18 20:27:37+00:00,0,twittbot.net,#pariwisatasumaterabarat #pariwisatabodobudur #pariwisatabanyuwangi tiket pesawat jakarta malang sriwijaya air KLIK https://t.co/xaAlCMxF2U
TiketPesawatPro,1604574122813816832,2022-12-18 20:27:37+00:00,0,twittbot.net,#pariwisatasumaterabarat #pariwisatabodobudur #pariwisatabanyuwangi tiket pesawat jakarta malang sriwijaya air KLIK https://t.co/xaAlCMPOh2
rocker_mello,1604539157346324480,2022-12-18 18:08:40+00:00,0,Twitter for iPhone,"@mwv_mystic Om, kalau yg Sriwijaya Air kemarin gimana ya itu? Udh ditemukan blackboxnya kan?"
TiketPesawatPro,1604528826284789760,2022-12-18 17:27:37+00:00,0,twittbot.net,#piknikasikcom #piknikday #piknikselfie harga tiket pesawat sriwijaya air dari malang ke jakarta KLIK https://t.co/xaAlCMxF2U
TiketPesawatPro,1604528825781874688,2022-12-18 17:27:37+00:00,0,twittbot.net,#piknikasikcom #piknikday #piknikselfie harga tiket pesawat sriwijaya air dari malang ke jakarta KLIK https://t.co/xaAlCMPOh2
indoflyer,1604493176881876992,2022-12-18 15:05:58+00:00,37,Twitter for Android,"Garuda Indonesia, Citilink, Sriwijaya Air, Nam Air, Batik Air, Lion Air, dan Wings Air ditetapkan kembali sebagai terlapor kartel tiket pesawat setelah Mahkamah Agung kabulkan kasasi KPPU.

https://t.co/aYcTFuo6Dh"
TiketPesawatPro,1604030560254316545,2022-12-17 08:27:41+00:00,0,twittbot.net,#backpacker_id #backpackermalang #dolan daftar harga tiket pesawat sriwijaya air semarang-surabaya KLIK https://t.co/xaAlCMxF2U
jwenniek,1604007049683435520,2022-12-17 06:54:16+00:00,0,Twitter for Android,Sriwijaya air maskapai paling nggak jelas
rosalia_fatma,1603723503756509184,2022-12-16 12:07:33+00:00,0,Twitter for Android,"@SriwijayaAir kenapa ya, daritadi pesawat suami kena delay terus, dari yg harusnya 16.xx WITA jadi 19.xx WITA terus ini belum ada kejelasannya"
idbcpr,1603420018406199297,2022-12-15 16:01:37+00:00,0,Awtoshare,"Informasi, Jadwal Penerbangan, Tiket Promo Sriwijaya Air - https://t.co/VKQnan8YrT https://t.co/CJypxqyoQN"
rizroxk85,1603414595213078535,2022-12-15 15:40:04+00:00,0,Twitter for Android,@Nerryney2 @SriwijayaAir Kenapa kah kak? Ak besok pake sriwijaya jg nih
nauticaneptunia,1603396841818951680,2022-12-15 14:29:31+00:00,0,Twitter for iPhone,situ sehat bos flight dari sore sampe skg belom berangkat2 juga?? delay apaan nih🤣🤣🤣 @SriwijayaAir
talbisiblisss,1603387763365126147,2022-12-15 13:53:26+00:00,0,Twitter for iPhone,"Saking keselnya nungguin Sriwijaya Air MKS-CGK yg flight 16.25 trs delay 20.45 dan delay lagi ke jam 22.00
Kasir indomaret sampe gue ajakin ngobrol dan foto selfie! https://t.co/zjRX6Hx6mH"
YMDesign77,1603383320087498752,2022-12-15 13:35:47+00:00,0,Twitter for Android,Parah banget @SriwijayaAir makassar mo ke jakarta...delay mulu ga brangkat2.dr jam 16.25 delay ke jam 8.30malam.skg delay lg mpe jam 11 mlm.helloo qta beli tiketmu loh  please deh pelayanannya yg bener napa??!!
Nerryney2,1603379978376052737,2022-12-15 13:22:30+00:00,0,Twitter for Android,"Masuk list blacklist maskapai yang nggak akan ku pakai lagi.! 
@SriwijayaAir ! 
#kecewasriwija"
Nerryney2,1603379336534376448,2022-12-15 13:19:57+00:00,0,Twitter for Android,"@SriwijayaAir delay 3 kali tanpa ada kompensasi apapun. 
Mengecewakan!"
Nerryney2,1603379154375700480,2022-12-15 13:19:14+00:00,0,Twitter for Android,"Kecewa dengan @SriwijayaAir penerbangan dengan no SJ589 dari jam 16.25 WITA delay I 20.00 WITA, delay berubah 21.15 WITA, delay III 22.20 WITA!!"
reza_4618,1603346594719727616,2022-12-15 11:09:51+00:00,0,Twitter for iPhone,@indoflyer PK-CKI Boeing classic Sriwijaya Air pertama kali naik pesawat
WPTegar,1603259221872504832,2022-12-15 05:22:40+00:00,0,Twitter for Android,"First impression yang buruk 👎 @SriwijayaAir 

Udah mundur 2 hari, ujung2nya dibatalkan. Mau reschedule juga jauh banget loh 🫠 https://t.co/tA7i3QvkV6"
imam_rachman_,1603238166349381633,2022-12-15 03:59:00+00:00,0,Twitter for Android,"Jelang Angkutan Nataru, Kemenhub Sebut Sudah Ada Permohonan 98 Penerbangan Tambahan  https://t.co/2kop1O04Kc @jokowi @kemenhub151 @djpu151 @AirNav_Official @AP_Airports @AngkasaPura_2 @mawaluddin @SriwijayaAir @Citilink1 @transnusa_id @malindoair @CitilinkID @YLKI_ID @Travelers"
dklzin,1602888940024897536,2022-12-14 04:51:18+00:00,0,Twitter for Android,@oreochizu09 Kerajaan Sriwijaya air
dennisfsalisbu1,1601975752597336066,2022-12-11 16:22:37+00:00,0,Twitter Web App,CRASHING 4 minutes after takeoff | Sriwijaya Air 182 https://t.co/NsbF7jqHNR via @YouTube
kermitanto,1601956220465999872,2022-12-11 15:05:00+00:00,1,Twitter for Android,Sriwijaya air https://t.co/LwHLYil5wH https://t.co/wh7UmKkcyA
