User,Tweet ID,Date Created,Number of Likes,Source of Tweet,Tweet
IndonesiaGaruda,1673481121777209344,2023-06-26 23:59:25+00:00,0,,"@r_adi08 Setelah kami cek, untuk penerbangan rute BKK-CGK di kelas bisnis akan tersedia alcohol beverages, namun untuk jenisnya akan menyesuaikan dengan ketersediaan. Terima kasih. - Mutia"
IndonesiaGaruda,1673479350845583365,2023-06-26 23:52:23+00:00,0,,"@r_adi08 Halo selamat pagi Bapak Rachmad, kami bantu cek informasinya, mohon berkenan menunggu. Terima kasih. - Mutia"
GarudaCares,1673446357301096448,2023-06-26 21:41:17+00:00,0,,@ProboChahyono58 Pagi Bapak Probo. Penerbangan Garuda Indonesia di Bandara Internasional Soekarno-Hatta beroperasi di terminal 3 :) - Robby
IndonesiaGaruda,1673412524832878592,2023-06-26 19:26:51+00:00,0,,"@oktafriane Ya, update paspor di bandara masih dapat dilakukan walaupun status tiket telah check-in online. - Robby"
IndonesiaGaruda,1673407858573197314,2023-06-26 19:08:18+00:00,0,,@oktafriane Selamat pagi. Update paspor dapat dilakukan di bandara atau contact center melalui link berikut https://t.co/EoriMFy8EP :) - Robby
serakyut,1673329713748615168,2023-06-26 13:57:47+00:00,8,,"Ketua Umum PSSI @erickthohir menyiapkan lagu untuk Timnas Garuda Indonesia. Sebuah lagi khusus yang diciptakan untuk meningkatkan daya tarik melebihi klub-klub yg ada di Tanah Air. Sepakbola Indonesia semakin maju di tangan sosok yg tepat seperti Pak Erick.
#GueBarengErickThohir https://t.co/5LsguQ8mKH"
sajiansedap,1673323583748145153,2023-06-26 13:33:25+00:00,0,,"Udah ngantongin izin cuti dari bos? Nah, giliran cek promo tiket pesawat! Garuda kasih diskon sampai 80%, lo! Jarang-jarang, kan? Cek dulu rute-nya ke mana aja, nih? Ada yang sesuai rencana kamu?

#garudaindonesia #garuda #tiketpesawat #tiketgaruda  

https://t.co/Kw1inLNCry"
IndonesiaGaruda,1673305344326635520,2023-06-26 12:20:57+00:00,6,,"Mulai hari ini kami menghadirkan 𝗚𝗮𝗿𝘂𝗱𝗮𝗪𝗲𝗹𝗹𝗻𝗲𝘀𝘀

Layanan Spa untuk relaksasi saat Anda menunggu keberangkatan ini dapat dinikmati oleh penumpang Business Class dan GarudaMiles Platinum.

Info selengkapnya : https://t.co/yaG30bSiv2

#GarudaIndonesia
#BecauseYouMatter https://t.co/UdazHL3Fw4"
IndonesiaGaruda,1673303076508413952,2023-06-26 12:11:56+00:00,0,,@dracopottahh Halo selamat malam Kak. Terima kasih atas apresiasinya untuk layanan WhatsApp GA. Semoga penerbangannya nanti menyenangkan :) - Kevin
IndonesiaGaruda,1673290651440644097,2023-06-26 11:22:34+00:00,0,,@AndiMattuju Halo selamat sore Bapak Andi. Kami memohon maaf atas ketidaknyamanannya. Award miles tercatat ke akun member biasanya memerlukan waktu 3-7 hari setelah penerbangan. Apabila masih belum tercatat kiranya berkenan melakukan klaim miles melalui email. Tks. - Kevin
JakartaNewsID1,1673250165032103936,2023-06-26 08:41:41+00:00,0,,Garuda Indonesia dan GE Aerospace Kerja Sama Strategis Restorasi Mesin Armada https://t.co/4yTcXjpU55
Bisniscom,1673229123983126529,2023-06-26 07:18:04+00:00,0,,Garuda Indonesia (GIAA) menggandeng GE Aerospace merombak mesin jenis GE dan CFM pada mesin pesawat jet. https://t.co/Ru2apdZQCZ
GarudaCares,1673227384663986177,2023-06-26 07:11:10+00:00,0,,@namakuyennie Kami ucapkan terima kasih telah memilih Garuda Indonesia sebagai partner perjalanan Ibu. Semoga hal tersebut tidak terulang kembali pada penerbangan berikutnya bersama GA. - Nadine
IndonesiaGaruda,1673211997113163778,2023-06-26 06:10:01+00:00,0,,"@virayasmin2 Benar Ibu Vira, nominal tersebut adalah pajak yang perlu dibayarkan selain poin GAMiles Ibu. Terima kasih. - Mutia"
IndoAviation,1673207910552453126,2023-06-26 05:53:47+00:00,1,,"Garuda Indonesia saat ini mengoperasikan 74 mesin CFM56-7B dan 16 mesin GE90-115B. Anak perusahaannya, Citilink, mengoperasikan 76 mesin CFM56-5B dan 20 mesin LEAP-1A. #aviationdaily 
https://t.co/AVOFKhsh9G"
IndonesiaGaruda,1673195938968641538,2023-06-26 05:06:12+00:00,0,,"@knalbbbllaannkk Sama-sama, semoga berkenan dengan informasinya :) - Mutia"
IndonesiaGaruda,1673194711081967619,2023-06-26 05:01:20+00:00,0,,"@knalbbbllaannkk Dapat diinformasikan kode booking, nama penumpang dan detail penerbangan melalui DM GarudaCares guna kami bantu cek. Terima kasih. - Nadine"
IndonesiaGaruda,1673192980088500224,2023-06-26 04:54:27+00:00,0,,"@knalbbbllaannkk Siang, Kak. Perubahan nomor seat dapat diproses, namun sesuai dengan ketersediaannya. Terima kasih. - Nadine"
IndonesiaGaruda,1673191857847930880,2023-06-26 04:49:59+00:00,1,,@kelvinthefirst Selamat beraktivitas kembali Kak Kelvin :) - Mutia
IndonesiaGaruda,1673191310164099072,2023-06-26 04:47:49+00:00,1,,"@kelvinthefirst Siang, Kak Kelvin. Terima kasih atas laporan yang diberikan, hal ini akan kami bantu teruskan ke pihak terkait. Terima kasih telah menjadi pelanggan Garuda Indonesia :) - Nadine"
IndonesiaGaruda,1673185423240364032,2023-06-26 04:24:25+00:00,0,,"@armybombbb Halo selamat siang Kak, kami cek untuk saat ini masih tersedia seat di kelas ekonomi untuk jadwal dan rute penerbangan tersebut. Terima kasih. - Mutia"
IndonesiaGaruda,1673164182542331905,2023-06-26 03:00:01+00:00,4,,"Simpan boarding pass Anda, nikmati berbagai penawaran menarik dengan menunjukkan boarding pass Anda ke berbagai merchant yang bekerjasama dengan Garuda Indonesia!

Info lengkap klik https://t.co/jOvBYS2jaA

#GarudaIndonesia
#BecauseYouMatter
#BoardingPassTrueValue https://t.co/vMq8QwueDE"
IndonesiaGaruda,1673151001807982592,2023-06-26 02:07:39+00:00,0,,"@virayasmin2 Bisa Ibu Vira, ketentuan untuk tiket redemption atau penukaran poin GAMiles dapat dilakukan perubahan jadwal dan akan dikenakan penalti 20% dari poin yang digunakan. Terima kasih. - Mutia"
IndonesiaGaruda,1673146011290857472,2023-06-26 01:47:49+00:00,0,,"@virayasmin2 Halo, Ibu Vira. Silakan mengisi data paspor lama ketika reservasi dan melakukan edit data pada saat paspor baru sudah tersedia. Kami pastikan nama tetap sama dan masa berlaku paspor mencukupi ketika penerbangan. Terima kasih. - Nadine"
Riki_rekenen,1673140168637956101,2023-06-26 01:24:36+00:00,0,,"Timnas Garuda Indonesia mendunia.
#GueBarengErickThohir"
moneydotid,1673138973030621185,2023-06-26 01:19:51+00:00,0,,"Ngeri, Layangan Nyangkut di Sayap Pesawat Garuda Indonesia https://t.co/RpJ3i9E2h5"
