User,Tweet ID,Date Created,Source of Tweet,Tweet,labelling,tweet2
restiseptiani27,1.5508163863220265e+18,2022-07-23 12:13:33+00:00,Twitter for Android,"@BanyuSadewa Untung jarang pake maskapai sekelas LCC, paling enak tuh Garuda &amp; Citilink, best banget pelayanan nya. Anti bangettt gue sama LCC 😭🙏",2.0,untung jarang pake maskapai sekelas lcc paling enak tuh garuda amp citilink best banget pelayanan nya anti bangettt gue sama lcc 😭🙏
IndonesiaGaruda,1.5412898713182986e+18,2022-06-27 05:18:35+00:00,Socio Enterprise,@CaryantoAwuy Terima kasih atas apresiasi dan dukungan yang senantiasa diberikan kepada Garuda Indonesia. Kami akan terus berupaya memaksimalkan pelayanan kami kepada seluruh pelanggan Garuda Indonesia :) - Lea,2.0,terima kasih atas apresiasi dan dukungan yang senantiasa diberikan kepada garuda indonesia kami akan terus berupaya memaksimalkan pelayanan kami kepada seluruh pelanggan garuda indonesia lea
Iref41089175,1.51813608619076e+18,2022-04-24 07:53:43+00:00,Twitter for Android,"@ChusnulCh__ Ya sulit Garuda ..
Aneh rugi bgitu besar pdhl nguasain rute pelayanan ya..?
Itu jg PLN udah monopoli jual listrik msh rugi juga..kalo negara lain ada saingan dr swasta boleh jualan listrik..tp sehat..!
Pejabat BUMN sekolah nga sih..?
Plat merah rugi..LUCUUUU..! 😂",0.0,ya sulit garuda aneh rugi bgitu besar pdhl nguasain rute pelayanan ya itu jg pln udah monopoli jual listrik msh rugi jugakalo negara lain ada saingan dr swasta boleh jualan listriktp sehat pejabat bumn sekolah nga sih plat merah rugilucuuuu 😂
DinaIsmenika,1.5334780761006612e+18,2022-06-05 15:57:18+00:00,Twitter for Android,"@Citilink baru kali ini pelayanan citilink tidak memuaskan khususnya di bagian check in di badara soekarno hatta. Terdapat staff yg berkata "" masih banyak pesawat lain kenapa tidak pakai pesawat lion air, garuda, dll?"" Tolong citilink staffnya di beri pengarahan yg baik.",0.0,baru kali ini pelayanan citilink tidak memuaskan khususnya di bagian check in di badara soekarno hatta terdapat staff yg berkata masih banyak pesawat lain kenapa tidak pakai pesawat lion air garuda dll tolong citilink staffnya di beri pengarahan yg baik
n4byl5,1.538485644405551e+18,2022-06-19 11:35:35+00:00,Twitter for Android,"@D_N4bil5 @erickthohir @IndonesiaGaruda semoga pelayanan Garuda Indonesia lebih baik dan harga tiket lebih bersaing
Bravo Garuda Indonesia
@IndonesiaGaruda",2.0,semoga pelayanan garuda indonesia lebih baik dan harga tiket lebih bersaing bravo garuda indonesia
amepius_kogoya,1.5711717990939077e+18,2022-09-17 16:18:42+00:00,Twitter for Android,@DaniusWenda Kami tugas untuk Berdoa supaya partai Garuda Indonesia tetap mendukung program pemerintah dalam pelayanan wa https://t.co/GQGNBn3hb4,1.0,kami tugas untuk berdoa supaya partai garuda indonesia tetap mendukung program pemerintah dalam pelayanan wa
ronalfernandos7,1.523709771974873e+18,2022-05-09 17:01:33+00:00,Twitter for Android,@GarudaCares @sashymymahal Geblek emang garuda.. Udah ga profit pelayanan jelek.. HDeh,0.0,geblek emang garuda udah ga profit pelayanan jelek hdeh
cumlaudejobless,1.5236287631412634e+18,2022-05-09 11:39:39+00:00,Twitter for iPhone,"@GarudaCares @sashymymahal Halah lo jg kmrin bikin schedule gue berantakan. Gada ganti rugi, hanya reschedule itupun sangat merepotkan pdffttttt ga prcaya lagi sm garuda udah mahal pelayanan buruk.",0.0,halah lo jg kmrin bikin schedule gue berantakan gada ganti rugi hanya reschedule itupun sangat merepotkan pdffttttt ga prcaya lagi sm garuda udah mahal pelayanan buruk
omnyaponakan,1.523602568907174e+18,2022-05-09 09:55:34+00:00,Twitter for Android,"@GarudaCares @sashymymahal Sepertinya hal kek gini kedepannya gabakal kejadian lagi, soalnya mba @sashymymahal udah keburu kapok buat pake pelayanan garuda dan gabakal naek garuda lagi.
Mungkin",0.0,sepertinya hal kek gini kedepannya gabakal kejadian lagi soalnya mba udah keburu kapok buat pake pelayanan garuda dan gabakal naek garuda lagi mungkin
judithnovianty,1.4932103437826417e+18,2022-02-14 13:07:43+00:00,Twitter for Android,"@GarudaCares Kerugian sy utk PCR, hotel, transporT pulang pergi utk kedua org tua sy siapa yg ganti? Pikir donk jangan semena2 ganti jadwal tanpa tanggung jawab apa2. Kerugian saya sangat banyak!! Bertahun2 sy pakai Garuda ini pertama kali kyak gini pelayanan yg amat BURUK! @IndonesiaGaruda",0.0,kerugian sy utk pcr hotel transport pulang pergi utk kedua org tua sy siapa yg ganti pikir donk jangan ganti jadwal tanpa tanggung jawab kerugian saya sangat banyak sy pakai garuda ini pertama kali kyak gini pelayanan yg amat buruk
susno2g,1.5286466692977787e+18,2022-05-23 07:59:01+00:00,Twitter for iPhone,"@IndonesiaGaruda ,@KemenBUMN ,@kemenhub151 ,@AngkasaPura_2 ; pantes Garuda rugi , pelayanan nya jelek, mungkin direksi nya gk pernah turun ngecek pelayanan,, https://t.co/I4hKSZp2kk",0.0,pantes garuda rugi pelayanan nya jelek mungkin direksi nya gk pernah turun ngecek pelayanan
gammacerane,1.483009248150057e+18,2022-01-17 09:32:12+00:00,Twitter for Android,"@IndonesiaGaruda @detikcom Ijin tag yah, pak @erickthohir . turut prihatin dengan kualitas pelayanan garuda saat ini.",0.0,ijin tag yah pak turut prihatin dengan kualitas pelayanan garuda saat ini
ok_harry,1.537973761580073e+18,2022-06-18 01:41:33+00:00,Twitter Web App,@IndonesiaGaruda Apakah senyaman ini pelayanan BUMN kelas dunia dari Garuda Indonesia? https://t.co/jIh75JXIar,2.0,apakah senyaman ini pelayanan bumn kelas dunia dari garuda indonesia
QiqiBibeh,1.554656895142572e+18,2022-08-03 02:34:22+00:00,Twitter for iPhone,"@IndonesiaGaruda Terima kasih atas respon cepatnya, semoga pelayanan dan keramahan pegawai Garuda tidak hanya kami rasakan saat penerbangan (Cabin Crew), melainkan jg sejak pelayanan pada saat check in. Semoga Garuda semakin lebih baik. Terima kasih",2.0,terima kasih atas respon cepatnya semoga pelayanan dan keramahan pegawai garuda tidak hanya kami rasakan saat penerbangan cabin crew melainkan jg sejak pelayanan pada saat check in semoga garuda semakin lebih baik terima kasih
IndonesiaGaruda,1.5147367252347003e+18,2022-04-14 22:45:52+00:00,Socio Enterprise,"@Jede_Daryono Kami memohon maaf atas ketidaknyamanannya, hal ini akan menjadi evaluasi bagi kami guna perbaikan dan peningkatan kualitas pelayanan ke depannya. Tidak lupa kami ucapkan terima kasih karena telah memilih Garuda Indonesia sebagai partner penerbangan Anda :) - Nadine",0.0,kami memohon maaf atas ketidaknyamanannya hal ini akan menjadi evaluasi bagi kami guna perbaikan dan peningkatan kualitas pelayanan ke depannya tidak lupa kami ucapkan terima kasih karena telah memilih garuda indonesia sebagai partner penerbangan anda nadine
OppaHan4,1.563187915290968e+18,2022-08-26 15:33:36+00:00,Twitter for Android,"@JembzCoeey @okijogjezz @erickthohir Garuda adalah Perusahaan BUMN - jika untung, perusahaan bisa lakukan negoisasi dgn pemerintah apakah keuntungan itu tdk disetor ke negara akan tetapi digunakan utk Penambahan jumlah Armadanya guna memberikan pelayanan yg maksimal kepada masyarakat.",1.0,garuda adalah perusahaan bumn jika untung perusahaan bisa lakukan negoisasi dgn pemerintah apakah keuntungan itu tdk disetor ke negara akan tetapi digunakan utk penambahan jumlah armadanya guna memberikan pelayanan yg maksimal kepada masyarakat
masjalu_17,1.4983089444855808e+18,2022-02-28 14:47:44+00:00,Twitter Web App,"@K_TFirdausi @TerminalBisBYL Selain istiqomah, sepertinya memang masuk jadi salah satu strategi jaran buat nge-push merk Pelita untuk fokus melayani jalur via arteri, sedangkan HJ fokus jalur via tol. Mungkin analoginya seperti Garuda-Citilink / Lion-Batik yg 1 grup tapi fokus di 2 kelas pelayanan yg berbeda",1.0,selain istiqomah sepertinya memang masuk jadi salah satu strategi jaran buat ngepush merk pelita untuk fokus melayani jalur via arteri sedangkan hj fokus jalur via tol mungkin analoginya seperti garudacitilink lionbatik yg grup tapi fokus di kelas pelayanan yg berbeda
masjalu_17,1.497159441367855e+18,2022-02-25 10:40:01+00:00,Twitter Web App,"@K_TFirdausi Terlalu berat memang kalau langsung head to head dengan kerajaan Jepun, Palur, dkk, apalagi memang Arimbi tidak terkenal ""pemain"" di kelas pelayanan seperti itu. Belajar dari Garuda mas yang melayani kelas biasa, tapi sukses di jalur Cepu dsk karena tepat menggarap potensi pasar.",2.0,terlalu berat memang kalau langsung head to head dengan kerajaan jepun palur dkk apalagi memang arimbi tidak terkenal pemain di kelas pelayanan seperti itu belajar dari garuda mas yang melayani kelas biasa tapi sukses di jalur cepu dsk karena tepat menggarap potensi pasar
AnakLobster,1.584411666527101e+18,2022-10-24 05:09:12+00:00,Twitter for Android,"@KeeNand__ Maksudku rugi laba itu perlu proses perbaikan.
Kalo gitu logika yg dipakai, Garuda Indonesia kurang rugi apa???? Bukan milyaran tapi trilyunan kan? Namanya transportasi publik itu industri padat modal jadi margin profitnya tipis aja udah bagus karena emang sarana pelayanan publik",0.0,maksudku rugi laba itu perlu proses perbaikan kalo gitu logika yg dipakai garuda indonesia kurang rugi apa bukan milyaran tapi trilyunan kan namanya transportasi publik itu industri padat modal jadi margin profitnya tipis aja udah bagus karena emang sarana pelayanan publik
